No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
129,ガンプラ 部品注文,4400,1,1835,13,http://bandai-hobby.net/customer_support/
130,インフィニット ジャスティス 弐式,4400,1,1817,35,http://bandai-hobby.net/item/01_5208/
131,サンダー ボルト フル アーマー ガンダム,4400,1,1817,22,http://bandai-hobby.net/item/01_525/
132,部品 注文 ガンプラ,4400,1,1817,13,http://bandai-hobby.net/customer_support/
133,ペーネロペー hg,5400,1,1797,38,http://bandai-hobby.net/item/01_2443/
134,ガンプラ ジークアクス,5400,1,1797,25,http://bandai-hobby.net/site/gquuuuuux/
135,ローゼン ズール,5400,1,1797,17,http://bandai-hobby.net/item/01_5773/
136,mg ジオ,5400,1,1797,40,http://bandai-hobby.net/item/01_1463/
137,バンダイ プラモデル 発売日,4400,1,1792,38,http://bandai-hobby.net/schedule/
138,シュツルム ガルス,4400,1,1760,29,http://bandai-hobby.net/item/01_146/
139,30mm アーマードコア,4400,1,1735,25,http://bandai-hobby.net/site/30minutes_missions/armoredcore/
140,アーマードコア プラモ,4400,1,1735,24,http://bandai-hobby.net/site/30minutes_missions/armoredcore/
141,ガンプラ パーツ注文,4400,1,1735,19,http://bandai-hobby.net/customer_support/
142,ハイニューガンダム rg,4400,1,1735,38,http://bandai-hobby.net/item/01_3524/
143,バンダイ 発売日,4400,1,1735,28,http://bandai-hobby.net/schedule/
144,ガンプラ パーツ 注文,4400,1,1717,15,http://bandai-hobby.net/customer_support/
145,カイゼル グレイモン,4400,1,1695,18,http://bandai-hobby.net/item/01_5983/
146,mgsd バルバトス,5400,1,1674,20,http://bandai-hobby.net/item/01_4994/
147,ジム コマンドー,5400,1,1674,41,http://bandai-hobby.net/item/01_3335/
148,ガンダム ヴァサーゴ,4400,1,1660,22,http://bandai-hobby.net/item/01_7249/
149,プラコロ ポケモン,4400,1,1660,23,http://bandai-hobby.net/site/pokemon/plakoro/
150,バンダイ ガンプラ,4400,1,1660,54,http://bandai-hobby.net/gunpla/
151,ヴァーチェ ガンダム,4400,1,1660,35,http://bandai-hobby.net/item/01_3656/
152,バーチェ ガンダム,4400,1,1660,36,http://bandai-hobby.net/item/01_3656/
153,リンクルプラネット,5400,1,1590,43,http://bandai-hobby.net/site/plamogirlsproject/linklplanet/
154,ヴァサーゴ ガンダム,4400,1,1537,27,http://bandai-hobby.net/item/01_7249/
155,30 minutes missions,3600,1,1504,25,http://bandai-hobby.net/site/30minutes_missions/
156,ピカちんキット,4400,1,1493,35,http://bandai-hobby.net/series/pikachin-kit/
157,ピカちん キット,4400,1,1481,40,http://bandai-hobby.net/series/pikachin-kit/
158,バンダイ新商品,3600,1,1453,42,http://bandai-hobby.net/schedule/
159,ガンダムレオパルド,3600,1,1439,22,http://bandai-hobby.net/item/01_7125/
160,フェネクスガンダム,3600,1,1403,21,http://bandai-hobby.net/item/01_1392/
161,mgシナンジュ,3600,1,1403,30,http://bandai-hobby.net/item/01_5788/
162,クロスボーンガンダムx1,3600,1,1403,28,http://bandai-hobby.net/item/01_2251/
163,サザビーrg,3600,1,1403,37,http://bandai-hobby.net/item/01_1408/
164,ドラゴンボールプラモデル,3600,1,1403,23,http://bandai-hobby.net/site/dragonball.html
165,フルアーマーユニコーン,3600,1,1403,23,http://bandai-hobby.net/item/01_5726/
166,エントリーグレード,3600,1,1403,25,http://bandai-hobby.net/site/entry_grade/
167,トライエイジガンダム,3600,1,1403,29,http://bandai-hobby.net/item/01_3072/
168,リアルグレード,3600,1,1403,34,http://bandai-hobby.net/brand/rg/
169,バンダイ 新商品,3600,1,1352,43,http://bandai-hobby.net/schedule/
170,rgガンダム ver2,3600,1,1352,36,http://bandai-hobby.net/item/01_5261/
171,ガンプラ 1月 再販,12100,2,1340,12,http://bandai-hobby.net/news/01_6901/
172,ガンプラ 再販 2月,12100,2,1338,19,http://bandai-hobby.net/schedule/
173,ゼクアイン,3600,1,1337,32,http://bandai-hobby.net/item/01_1310/
174,gunpla,3600,1,1337,48,http://bandai-hobby.net/gunpla/
175,ガンプラ6月 再販,18100,3,1336,11,http://bandai-hobby.net/news/01_7291/
176,バンダイ 新 商品,3600,1,1334,54,http://bandai-hobby.net/schedule/
177,rg ガンダム ver2,3600,1,1334,38,http://bandai-hobby.net/item/01_5261/
